metroreg;label;y1990;y2000;y2010;y2020;y2023
DE001MC;Berlin;:;4.921.641;5.036.223;5.342.887;5.481.613
DE002M;Hamburg;:;3.056.199;3.192.336;3.341.649;3.423.121
DE003M;München;:;2.410.083;2.654.726;2.927.716;2.981.735
DE004M;Köln;:;1.851.563;1.899.930;2.005.478;2.014.918
DE005M;Frankfurt am Main;:;2.481.064;2.539.597;2.729.562;2.779.727
DE007M;Stuttgart;:;2.601.109;2.673.463;2.794.558;2.816.924
DE008M;Leipzig;:;:;:;1.049.025;1.076.346
DE009M;Dresden;:;:;:;1.343.841;1.348.569
DE011M;Düsseldorf;:;1.518.575;1.525.774;1.559.177;1.576.105
DE012M;Bremen;:;1.229.096;1.245.252;1.277.050;1.295.665
DE013M;Hannover;:;1.279.783;1.292.008;1.314.935;1.333.851
DE014M;Nürnberg;:;1.267.621;1.298.376;1.353.032;1.374.524
DE017M;Bielefeld;:;321.125;323.084;334.195;338.332
DE018M;Halle an der Saale;:;:;431.348;422.577;426.057
DE019M;Magdeburg;:;:;508.513;498.077;501.013
DE020M;Wiesbaden;:;453.044;460.796;465.634;472.697
DE021M;Göttingen;:;:;:;458.326;461.716
DE025M;Darmstadt;:;423.260;432.250;457.722;462.901
DE027M;Freiburg im Breisgau;:;591.631;630.133;661.204;677.084
DE028M;Regensburg;:;408.076;430.334;470.222;481.304
DE031M;Schwerin;:;:;:;307.432;312.757
DE032M;Erfurt;:;555.155;529.179;524.565;526.332
DE033M;Augsburg;:;611.735;631.403;684.705;699.709
DE034M;Bonn;:;873.685;918.248;930.437;944.800
DE035M;Karlsruhe;:;693.633;723.565;757.161;763.320
DE036M;Mönchengladbach;:;263.697;258.251;261.034;268.465
DE037M;Mainz;:;376.200;399.361;429.995;435.500
DE038M;Ruhrgebiet;:;5.379.783;5.172.475;5.112.050;5.147.820
DE039M;Kiel;:;633.975;643.480;649.578;657.962
DE040M;Saarbrücken;:;870.069;826.183;796.637;801.299
DE042M;Koblenz;:;317.709;317.524;328.486;333.478
DE043M;Rostock;:;:;:;424.985;430.727
DE044M;Kaiserslautern;:;289.351;278.730;276.228;280.906
DE045M;Iserlohn;:;459.615;434.031;410.222;410.346
DE052M;Flensburg;:;280.865;286.928;291.320;298.588
DE054M;Konstanz;:;264.540;277.555;286.305;292.568
DE057M;Gießen;:;253.210;255.765;270.688;278.664
DE059M;Bayreuth;:;261.677;254.031;250.013;250.861
DE061M;Aschaffenburg;:;371.393;370.759;373.945;379.237
DE064M;Neubrandenburg;:;:;:;258.074;259.568
DE069M;Rosenheim;:;292.199;309.696;324.881;331.348
DE073M;Offenburg;:;405.607;417.267;430.953;441.885
DE074M;Görlitz;:;:;:;252.725;249.681
DE077M;Schweinfurt;:;280.214;271.890;272.106;276.286
DE079M;Wetzlar;:;262.951;254.878;253.319;257.289
DE083M;Braunschweig-Salzgitter-Wolfsburg;:;1.008.765;993.953;1.000.311;1.014.477
DE084M;Mannheim-Ludwigshafen;:;1.166.060;1.170.100;1.193.118;1.209.891
DE504M;Münster;:;477.450;495.804;535.879;545.638
DE507M;Aachen;:;:;:;557.026;562.559
DE510M;Lübeck;:;414.726;414.766;417.069;421.701
DE513M;Kassel;:;441.802;432.747;438.901;444.920
DE517M;Osnabrück;:;517.577;520.570;523.331;533.587
DE520M;Oldenburg (Oldenburg);:;382.885;405.422;424.826;434.996
DE522M;Heidelberg;:;661.626;682.747;709.840;717.625
DE523M;Paderborn;:;288.110;299.106;307.839;313.758
DE524M;Würzburg;:;506.749;510.487;507.549;513.528
DE527M;Bremerhaven;:;326.568;315.219;311.681;316.881
DE529M;Heilbronn;:;437.104;451.469;471.048;481.617
DE532M;Ulm;:;459.829;477.172;499.070;511.829
DE533M;Pforzheim;:;308.817;314.342;325.513;330.385
DE534M;Ingolstadt;:;432.259;457.335;495.803;508.659
DE537M;Reutlingen;:;276.671;280.927;287.034;291.696
DE540M;Siegen;:;434.663;417.278;405.749;408.603
DE542M;Hildesheim;:;292.466;284.551;275.817;278.371
DE544M;Zwickau;:;:;:;315.002;310.838
DE546M;Wuppertal;:;368.993;351.050;355.100;358.876
DE548M;Düren;:;266.457;268.637;264.638;270.833
DE549M;Bocholt;:;356.706;369.666;371.339;379.070
